address,year
"г. Пермь, ул. Адмирала Нахимова, д. 34",1969
"г. Пермь, ул. Адмирала Нахимова, д. 36",1969
"г. Пермь, ул. Адмирала Нахимова, д. 37",1957
"г. Пермь, ул. Адмирала Старикова, д. 1",1960
"г. Пермь, ул. Адмирала Старикова, д. 3",1956
"г. Пермь, ул. Адмирала Старикова, д. 5",1959
"г. Пермь, ул. Адмирала Старикова, д. 7",1961
"г. Пермь, ул. Адмирала Старикова, д. 9",1988
"г. Пермь, ул. Адмирала Старикова, д. 9А",1990
"г. Пермь, ул. Адмирала Старикова, д. 11",1974
"г. Пермь, ул. Адмирала Старикова, д. 13",1973
"г. Пермь, ул. Адмирала Старикова, д. 14",1987
"г. Пермь, ул. Адмирала Старикова, д. 15",1980
"г. Пермь, ул. Адмирала Старикова, д. 17",1990
"г. Пермь, ул. Адмирала Старикова, д. 23",1958
"г. Пермь, ул. Адмирала Старикова, д. 28",1960
"г. Пермь, ул. Адмирала Старикова, д. 29",1957
"г. Пермь, ул. Адмирала Старикова, д. 35",1953
"г. Пермь, ул. Адмирала Старикова, д. 37",1955
"г. Пермь, ул. Адмирала Старикова, д. 49",1986
"г. Пермь, ул. Адмирала Ушакова, д. 3",1961
"г. Пермь, ул. Адмирала Ушакова, д. 5",1960
"г. Пермь, ул. Адмирала Ушакова, д. 7",1960
"г. Пермь, ул. Адмирала Ушакова, д. 8",1962
"г. Пермь, ул. Адмирала Ушакова, д. 9",1957
"г. Пермь, ул. Адмирала Ушакова, д. 11",1957
"г. Пермь, ул. Адмирала Ушакова, д. 12",1956
"г. Пермь, ул. Адмирала Ушакова, д. 13",1958
"г. Пермь, ул. Адмирала Ушакова, д. 14",1955
"г. Пермь, ул. Адмирала Ушакова, д. 16",1959
"г. Пермь, ул. Адмирала Ушакова, д. 17, к. а",1931
"г. Пермь, ул. Адмирала Ушакова, д. 18",1956
"г. Пермь, ул. Адмирала Ушакова, д. 20",1958
"г. Пермь, ул. Адмирала Ушакова, д. 22",1951
"г. Пермь, ул. Адмирала Ушакова, д. 25",1950
"г. Пермь, ул. Адмирала Ушакова, д. 26",1964
"г. Пермь, ул. Адмирала Ушакова, д. 27",1949
"г. Пермь, ул. Адмирала Ушакова, д. 29",1949
"г. Пермь, ул. Адмирала Ушакова, д. 30",1967
