address,year,Lon,Lat
"г. Пермь, ул. Автозаводская, д. 53",1969,55.952044,58.009253
"г. Пермь, ул. Агатовая, д. 32",2017,56.337708,58.0016
"г. Пермь, ул. Агатовая, д. 36",2017,56.338023,58.000541
"г. Пермь, ул. Адмирала Макарова, д. 22",1998,56.02885,58.032405
"г. Пермь, ул. Адмирала Макарова, д. 31А",1952,56.027215,58.035721
"г. Пермь, ул. Адмирала Макарова, д. 34",1960,56.028894,58.035702
"г. Пермь, ул. Адмирала Нахимова, д. 3",1955,55.954945,58.00066
"г. Пермь, ул. Адмирала Нахимова, д. 5",1954,55.954505,58.000927
"г. Пермь, ул. Адмирала Нахимова, д. 6",1951,55.954945,58.001213
"г. Пермь, ул. Адмирала Нахимова, д. 7",1954,55.953993,58.001285
"г. Пермь, ул. Адмирала Нахимова, д. 8",1951,55.954307,58.001576
"г. Пермь, ул. Адмирала Нахимова, д. 10",1962,55.953966,58.002186
"г. Пермь, ул. Адмирала Нахимова, д. 11",1960,55.952421,58.002091
"г. Пермь, ул. Адмирала Нахимова, д. 12",1962,55.953364,58.002477
"г. Пермь, ул. Адмирала Нахимова, д. 13",1961,55.951684,58.00201
"г. Пермь, ул. Адмирала Нахимова, д. 14",1962,55.952295,58.002926
"г. Пермь, ул. Адмирала Нахимова, д. 15",1960,55.951639,58.002415
"г. Пермь, ул. Адмирала Нахимова, д. 16",1962,55.951693,58.003226
"г. Пермь, ул. Адмирала Нахимова, д. 19",1961,55.949816,58.003231
"г. Пермь, ул. Адмирала Нахимова, д. 20",1966,55.950705,58.003708
"г. Пермь, ул. Адмирала Нахимова, д. 23",1967,55.94775,58.004156
"г. Пермь, ул. Адмирала Нахимова, д. 25",1942,55.946761,58.00459
"г. Пермь, ул. Адмирала Нахимова, д. 26",1972,55.947741,58.004757
"г. Пермь, ул. Адмирала Нахимова, д. 28",1976,55.947247,58.005205
"г. Пермь, ул. Адмирала Нахимова, д. 30",1968,55.946384,58.005615
"г. Пермь, ул. Адмирала Нахимова, д. 32",1968,55.945809,58.005873
"г. Пермь, ул. Адмирала Нахимова, д. 34",1969,55.945189,58.006154
"г. Пермь, ул. Адмирала Нахимова, д. 36",1969,55.944668,58.006459
"г. Пермь, ул. Адмирала Нахимова, д. 37",1957,55.943563,58.006011
"г. Пермь, ул. Адмирала Старикова, д. 1",1960,56.382974,58.138962
"г. Пермь, ул. Адмирала Старикова, д. 3",1956,56.383513,58.138924
"г. Пермь, ул. Адмирала Старикова, д. 5",1959,56.383981,58.138796
"г. Пермь, ул. Адмирала Старикова, д. 7",1961,56.384834,58.138658
"г. Пермь, ул. Адмирала Старикова, д. 9",1988,56.383801,58.137832
"г. Пермь, ул. Адмирала Старикова, д. 9А",1990,56.383576,58.137461
"г. Пермь, ул. Адмирала Старикова, д. 11",1974,56.385499,58.138311
"г. Пермь, ул. Адмирала Старикова, д. 13",1973,56.386047,58.137656
"г. Пермь, ул. Адмирала Старикова, д. 14",1987,56.387987,58.138055
"г. Пермь, ул. Адмирала Старикова, д. 15",1980,56.386586,58.136981
"г. Пермь, ул. Адмирала Старикова, д. 17",1990,56.385292,58.136249
"г. Пермь, ул. Адмирала Старикова, д. 23",1958,56.387843,58.136287
"г. Пермь, ул. Адмирала Старикова, д. 28",1960,56.389011000000004,58.13461
"г. Пермь, ул. Адмирала Старикова, д. 29",1957,56.388589,58.135237
"г. Пермь, ул. Адмирала Старикова, д. 35",1953,56.388158,58.134425
"г. Пермь, ул. Адмирала Старикова, д. 37",1955,56.387978,58.134083
"г. Пермь, ул. Адмирала Старикова, д. 49",1986,56.38664,58.131607
"г. Пермь, ул. Адмирала Ушакова, д. 3",1961,56.037105,58.033996
"г. Пермь, ул. Адмирала Ушакова, д. 5",1960,56.03627,58.034177
"г. Пермь, ул. Адмирала Ушакова, д. 7",1960,56.03512,58.034172
"г. Пермь, ул. Адмирала Ушакова, д. 8",1962,56.036413,58.034611
"г. Пермь, ул. Адмирала Ушакова, д. 9",1957,56.03379,58.034201
"г. Пермь, ул. Адмирала Ушакова, д. 11",1957,56.032856,58.034077
"г. Пермь, ул. Адмирала Ушакова, д. 12",1956,56.033763,58.034625
"г. Пермь, ул. Адмирала Ушакова, д. 13",1958,56.031922,58.03421
"г. Пермь, ул. Адмирала Ушакова, д. 14",1955,56.032838,58.034649
"г. Пермь, ул. Адмирала Ушакова, д. 16",1959,56.031679,58.034658
"г. Пермь, ул. Адмирала Ушакова, д. 18",1956,56.030467,58.034639
"г. Пермь, ул. Адмирала Ушакова, д. 20",1958,56.029811,58.034644
"г. Пермь, ул. Адмирала Ушакова, д. 22",1951,56.029083,58.034635
"г. Пермь, ул. Адмирала Ушакова, д. 25",1950,56.025607,58.034191
"г. Пермь, ул. Адмирала Ушакова, д. 26",1964,56.025256,58.034587
"г. Пермь, ул. Адмирала Ушакова, д. 27",1949,56.024645,58.034182
"г. Пермь, ул. Адмирала Ушакова, д. 29",1949,56.023909,58.034187
